"Date & Time","use [kWh]","gen [kWh]","Register 1 [kWh]","Register 2 [kWh]","Register 3 [kWh]","Register 4 [kWh]","Register 5 [kWh]","Register 6 [kWh]","Register 7 [kWh]","Register 8 [kWh]","Register 9 [kWh]","Register 10 [kWh]","Register 11 [kWh]","Register 12 [kWh]","Solar [kWh]"
2018-12-31 12:00:00,13378796.744008887,711476.007961111,1283115.827371944,794880.611055555,1214310.539125278,1832818.195956111,930613.846431667,1515058.318058055,1341724.226685000,717576.423805000,903279.139049722,1031919.614174444,1032713.734636667,780786.267659444,711476.007961111
2018-12-30 12:00:00,13372598.924538055,711301.598979167,1282547.967160833,794649.644807222,1213788.600648333,1832021.072277500,930352.884282778,1514449.304443055,1340998.307563889,717201.367700278,902834.794588889,1031297.499309722,1032124.865160278,780332.616595278,711301.598979167
2018-12-29 12:00:00,13365299.489035277,711213.044754722,1281863.335921667,794295.601987778,1213145.193963055,1831114.487482222,929969.192823611,1513759.039333611,1340217.544631111,716673.315404167,902338.239210278,1030618.808153055,1031463.453375000,779841.276749722,711213.044754722
2018-12-28 12:00:00,13359240.593003610,710754.592037778,1281274.234864722,794040.601379722,1212601.335838333,1830303.502904722,929685.660756111,1513147.694280000,1339547.878582778,716394.402495833,901947.577346944,1030011.447782500,1030896.393419167,779389.863352778,710754.592037778
2018-12-27 12:00:00,13354045.660378054,710081.020375833,1280806.378555833,793894.115357500,1212199.022074444,1829566.324805833,929499.315174167,1512592.805445555,1338892.822998611,716184.463978333,901610.364917778,1029465.038429722,1030381.591192500,778953.417447778,710081.020375833
2018-12-26 12:00:00,13348893.717734443,709887.093120000,1280339.209186667,793766.810485833,1211804.999175833,1828834.611458055,929335.831024444,1512033.719152500,1338236.197050555,715967.453193055,901265.990234722,1028912.351444722,1029859.619808055,778536.925520000,709887.093120000
2018-12-25 12:00:00,13344081.248418055,709706.478215278,1279886.695083889,793634.337833333,1211413.202250833,1828152.391172778,929193.757211111,1511528.732110833,1337670.617043889,715769.337714444,900933.878572500,1028394.016916944,1029358.457481389,778145.825026111,709706.478215278
2018-12-24 12:00:00,13336144.639470832,709521.990763056,1279065.512451944,793115.089453056,1210628.890236111,1827240.734553333,928780.868962500,1510798.303604722,1336843.811231111,715276.507065278,900286.439142222,1027757.193319722,1028698.674046389,777652.615404444,709521.990763056
2018-12-23 12:00:00,13327210.730792221,708987.814196944,1278134.891018611,792466.475060000,1209712.552368889,1826237.998898611,928288.794441944,1509977.228212500,1335920.639065278,714699.361965000,899574.796855556,1027077.876804722,1027985.746934167,777134.369166945,708987.814196944
2018-12-22 12:00:00,13317484.803721666,708355.655285000,1277026.026357222,791579.447150833,1208592.599726111,1825165.648005555,927739.120402500,1509098.839314166,1334951.546853056,714118.207374722,898848.557267222,1026420.718954444,1027306.688230556,776637.404085278,708355.655285000
2018-12-21 12:00:00,13308146.700549445,707700.449654167,1276037.716124722,790850.550717222,1207606.191350278,1824111.490711944,927198.165468333,1508220.343462778,1333984.389830000,713523.243300278,898118.150570000,1025748.701869722,1026618.762141944,776128.995002222,707700.449654167
2018-12-20 12:00:00,13298731.365684167,706997.947018055,1275021.217882222,790111.791116111,1206593.697867500,1823034.990930555,926656.062651111,1507359.270215000,1333037.031182500,712978.437683889,897419.725638333,1025042.792884444,1025894.012984167,775582.334648333,706997.947018055
