"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-26 23:55:00,239.898966667,-1.509453333,18.333740000,4.913943333,16.194530000,34.508403333,10.719783333,22.321846667,22.396976667,21.264996667,13.491030000,25.115846667,30.977993333,19.659876667,-1.509453333
2019-03-26 23:50:00,253.929576667,-1.551286667,21.880683333,8.139526667,18.902916667,36.818133333,13.366426667,25.330583333,22.211133333,21.241516667,13.323926667,23.817460000,30.852913333,18.044356667,-1.551286667
2019-03-26 23:45:00,249.157260000,-1.552940000,19.834746667,4.701800000,15.377576667,37.597673333,14.808843333,26.001650000,22.480873333,21.319473333,13.301343333,24.831570000,29.664450000,19.237260000,-1.552940000
2019-03-26 23:40:00,262.733343333,-1.547453333,19.828326667,4.958076667,15.389550000,37.782670000,15.148120000,26.014246667,24.358626667,23.281153333,14.784646667,29.705060000,28.990930000,22.491936667,-1.547453333
2019-03-26 23:35:00,240.832920000,-1.560193333,19.789270000,5.135780000,15.372333333,35.758726667,12.587780000,24.243336667,23.496490000,22.260546667,13.357770000,25.437670000,25.014826667,18.378390000,-1.560193333
2019-03-26 23:30:00,231.866276667,-1.569986667,18.487936667,4.305710000,15.951763333,36.113676667,10.988476667,23.415533333,25.047950000,23.230156667,14.750483333,23.481626667,23.117493333,12.975470000,-1.569986667
2019-03-26 23:25:00,243.690196667,-1.563586667,17.823406667,4.479596667,16.033266667,36.208466667,11.034146667,23.267003333,27.764440000,25.845780000,17.659190000,25.019093333,24.765773333,13.790033333,-1.563586667
2019-03-26 23:20:00,243.325803333,-1.570916667,17.633223333,4.489573333,15.969056667,36.047920000,11.106010000,23.367736667,26.812096667,24.892403333,16.631526667,26.231533333,25.329596667,14.815126667,-1.570916667
2019-03-26 23:15:00,241.378783333,-1.571010000,17.533336667,4.540866667,16.078696667,35.788646667,11.287950000,23.177023333,24.734040000,23.130813333,14.591276667,27.813253333,26.688980000,16.013900000,-1.571010000
2019-03-26 23:10:00,230.590323333,-1.568030000,17.120413333,4.784183333,16.326360000,35.812703333,11.515293333,23.116940000,24.407866667,23.068260000,14.755386667,23.585550000,23.564890000,12.532476667,-1.568030000
2019-03-26 23:05:00,232.749133333,-1.566280000,18.585663333,6.628430000,17.654743333,35.830160000,11.617810000,23.133860000,22.611540000,21.685806667,13.589293333,24.011016667,24.357233333,13.043576667,-1.566280000
2019-03-26 23:00:00,240.221610000,-1.561160000,20.552833333,8.534616667,19.227493333,34.622596667,10.735106667,22.902486667,22.375280000,21.573253333,13.392843333,25.717483333,25.714960000,14.872656667,-1.561160000
2019-03-26 22:55:00,239.295500000,-1.555700000,18.297853333,5.239850000,16.338783333,34.801550000,10.706523333,23.065313333,23.296376667,22.171490000,14.198380000,28.213026667,27.115526667,15.850826667,-1.555700000
2019-03-26 22:50:00,238.620886667,-1.549586667,18.670626667,4.914660000,16.614456667,37.302413333,13.247343333,25.538270000,23.588453333,22.379160000,14.190806667,25.557780000,24.061806667,12.555110000,-1.549586667
2019-03-26 22:45:00,245.794443333,-1.552743333,18.785956667,4.951226667,16.919093333,38.331273333,14.662693333,26.756913333,22.921673333,21.495906667,13.586693333,27.242130000,25.745316667,14.395566667,-1.552743333
2019-03-26 22:40:00,249.123543333,-1.550376667,18.502163333,5.021363333,16.634056667,38.319746667,14.796686667,26.852350000,23.737313333,22.600403333,13.568486667,27.666300000,26.524156667,14.900516667,-1.550376667
2019-03-26 22:35:00,251.396140000,-1.551690000,18.650690000,5.096890000,17.031120000,37.788316667,13.959076667,25.655613333,24.926740000,23.984206667,14.794206667,27.082640000,26.575540000,15.851100000,-1.551690000
2019-03-26 22:30:00,239.631546667,-1.542453333,18.589770000,5.352703333,16.744190000,35.348073333,10.850443333,23.014123333,23.227843333,22.529903333,13.511963333,27.115550000,27.040263333,16.306720000,-1.542453333
2019-03-26 22:25:00,235.370266667,-1.536940000,18.144436667,5.466773333,16.543620000,35.065220000,10.731530000,22.954333333,23.290276667,22.709120000,13.473803333,24.762493333,24.729623333,17.499036667,-1.536940000
2019-03-26 22:20:00,246.970773333,-1.543836667,17.526703333,4.952643333,16.542340000,36.624390000,11.202580000,23.577696667,24.705280000,24.157246667,14.849640000,26.831060000,26.429000000,19.572193333,-1.543836667
2019-03-26 22:15:00,249.489196667,-1.544096667,19.961143333,7.984303333,19.460893333,36.753083333,11.699113333,23.445626667,23.203963333,22.500620000,13.517856667,26.301756667,25.816026667,18.844810000,-1.544096667
2019-03-26 22:10:00,243.703066667,-1.539653333,19.242436667,6.895400000,18.369320000,36.063013333,11.659140000,23.423780000,22.329610000,21.311920000,13.525710000,27.763026667,24.830780000,18.288930000,-1.539653333
2019-03-26 22:05:00,235.301993333,-1.542196667,17.790236667,4.684963333,16.602346667,36.060486667,11.828803333,23.738850000,23.531706667,22.625860000,15.013433333,23.594223333,23.310686667,16.520396667,-1.542196667
2019-03-26 22:00:00,239.612540000,-1.553260000,19.050230000,5.594216667,17.312330000,35.976526667,11.185340000,23.431690000,22.184013333,21.344703333,13.660260000,26.314750000,26.191833333,17.366646667,-1.553260000
